date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:06:08	135232/135232	---M--	200	added ('OK')	text/html	etag:%225b44d97d-21040%22	https://us.pycon.org/2018/schedule/talks/list/	E:/pyconf/pyconf/us.pycon.org/2018/schedule/talks/list/index.html	(from https://us.pycon.org/2018/)
00:06:08	55399/55399	---M--	200	added ('OK')	text/html	etag:%225b44d97d-d867%22	https://us.pycon.org/2018/schedule/tutorials/list/	E:/pyconf/pyconf/us.pycon.org/2018/schedule/tutorials/list/index.html	(from https://us.pycon.org/2018/)
00:06:12	436715/436715	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.10.4/jquery-ui.js	E:/pyconf/pyconf/ajax.googleapis.com/ajax/libs/jqueryui/1.10.4/jquery-ui.js	(from https://us.pycon.org/2018/)
00:06:12	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Jan%202019%2016:05:39%20GMT	https://us.pycon.org/2018/schedule/edusummits/list	E:/pyconf/pyconf/us.pycon.org/2018/schedule/edusummits/list.a.delayed	(from https://us.pycon.org/2018/)
00:06:12	36356/36356	---M--	200	added ('OK')	text/html	etag:%225b44d97d-8e04%22	https://us.pycon.org/2018/schedule/edusummits/list/	E:/pyconf/pyconf/us.pycon.org/2018/schedule/edusummits/list/index.html	(from https://us.pycon.org/2018/)
00:06:13	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Jan%202019%2016:06:06%20GMT	https://us.pycon.org/2018/hatchery/charlas	E:/pyconf/pyconf/us.pycon.org/2018/hatchery/charlas	(from https://us.pycon.org/2018/)
00:06:13	12786/12786	---M--	200	added ('OK')	text/html	etag:%225b44d97d-31f2%22	https://us.pycon.org/2018/events/opening-reception/	E:/pyconf/pyconf/us.pycon.org/2018/events/opening-reception/index.html	(from https://us.pycon.org/2018/)
00:06:13	16100/16100	---M--	200	added ('OK')	text/html	etag:%225b866e0c-3ee4%22	https://us.pycon.org/2018/events/edusummit/	E:/pyconf/pyconf/us.pycon.org/2018/events/edusummit/index.html	(from https://us.pycon.org/2018/)
00:06:13	14989/14989	---M--	200	added ('OK')	text/html	etag:%225b44d97d-3a8d%22	https://us.pycon.org/2018/events/dinners/	E:/pyconf/pyconf/us.pycon.org/2018/events/dinners/index.html	(from https://us.pycon.org/2018/)
00:06:13	17290/17290	---M--	200	added ('OK')	text/html	etag:%225b44d97d-438a%22	https://us.pycon.org/2018/events/startup_row/	E:/pyconf/pyconf/us.pycon.org/2018/events/startup_row/index.html	(from https://us.pycon.org/2018/)
00:06:13	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Jan%202019%2016:06:07%20GMT	https://us.pycon.org/2018/events/lightning/talks	E:/pyconf/pyconf/us.pycon.org/2018/events/lightning/talks	(from https://us.pycon.org/2018/)
00:06:13	73042/73042	---M--	200	added ('OK')	text/html	etag:%225b44d97e-11d52%22	https://us.pycon.org/2018/sponsors/jobs/	E:/pyconf/pyconf/us.pycon.org/2018/sponsors/jobs/index.html	(from https://us.pycon.org/2018/)
